product_att_01,product_att_02,product_att_05,product_att_01_desc,product_att_02_desc,product_att_05_desc,store_cluster,week_start_date,total_quantity,unit_price_mean,unit_price_median,discount_frac_mean,discount_frac_wavg
1.0,1.0,3.0,Ayakkabı,Ayakkabı,Krampon,0,2023-11-06,158,1265.6970786516854,1453.64,0.009913001513976177,0.006544896925300261
1.0,1.0,75.0,Ayakkabı,Ayakkabı,Sneaker,1,2024-02-19,158,699.9208860759494,604.54,0.04948187559788909,0.04348881308973505
2.0,23.0,22.0,Giyim,Polo Tişört,Polo Tişört,0,2023-04-03,158,395.8611764705882,369.44,0.014923644197103826,0.007758382598829571
2.0,28.0,15.0,Giyim,Forma,Forma,2,2025-05-19,158,542.7767368421052,532.38,0.06309303782823163,0.06815492916967271
1.0,1.0,75.0,Ayakkabı,Ayakkabı,Sneaker,1,2024-04-22,158,954.4607594936708,999.99,0.03828453437657091,0.032801480869768564
2.0,24.0,23.0,Giyim,Sweatshirt,Sweatshirt,1,2023-12-18,158,423.7617283950617,445.45,0.08412347423772383,0.07934647707479646
2.0,94.0,77.0,Giyim,Pantolon,Jean,2,2024-10-14,158,841.874018691589,909.08,0.03460566601980818,0.04275767019369138
3.0,913.0,31.0,Aksesuar,Ayk.Bakım Malzemeleri,Ayakkabı Bakım Ürünleri,0,2024-01-01,158,90.32654320987655,99.96,0.0,0.0
3.0,18.0,62.0,Aksesuar,Aksesuar,Aksesuar,0,2025-06-30,158,167.05931249999998,157.5,0.00971831181152813,0.00887951816333779
3.0,8.0,41.0,Aksesuar,Top,Futbol Topu,0,2025-03-24,158,880.0195061728393,791.58,0.010992782062273136,0.006875297184016343
2.0,24.0,23.0,Giyim,Sweatshirt,Sweatshirt,0,2024-05-06,158,612.0068965517241,545.41,0.07197340023847068,0.06094455303557162
2.0,29.0,24.0,Giyim,Şort,Şort,2,2023-11-06,158,347.15292134831463,382.72,0.09584461511548056,0.09974446700625714
2.0,21.0,26.0,Giyim,Tişört,Tişört,1,2024-01-08,158,276.8270886075949,267.27,0.14140953491807884,0.11094244570975113
3.0,926.0,56.0,Aksesuar,Eldiven & Bere,Eldiven & Bere,0,2023-01-30,158,146.79482758620688,166.57,0.050967785284475105,0.043088981198418655
3.0,925.0,57.0,Aksesuar,Şapka,Şapka,0,2024-08-05,158,371.2901176470588,454.54,0.30101016598278746,0.08080276947056572
2.0,24.0,23.0,Giyim,Sweatshirt,Sweatshirt,1,2024-09-09,156,608.1923076923076,550.9,0.06923898763473445,0.061890247941859704
1.0,1.0,76.0,Ayakkabı,Ayakkabı,Spor Ayakkabı,1,2024-09-02,156,1113.7321794871798,999.08,0.04936806829815525,0.03645133342805649
3.0,913.0,31.0,Aksesuar,Ayk.Bakım Malzemeleri,Ayakkabı Bakım Ürünleri,0,2025-06-23,156,129.8728205128205,124.96,0.0,0.0
2.0,918.0,16.0,Giyim,Gömlek,Gömlek,0,2024-06-10,156,1167.406976744186,1118.17,0.009874210018704721,0.00809825973296736
3.0,18.0,69.0,Aksesuar,Aksesuar,Parfüm,0,2023-11-20,156,265.8103846153846,333.32,0.09317514857814749,0.07081007170192008
1.0,1.0,76.0,Ayakkabı,Ayakkabı,Spor Ayakkabı,1,2023-10-02,156,739.7579487179488,545.45,0.05140999522248462,0.040854324557625506
2.0,28.0,15.0,Giyim,Forma,Forma,0,2025-06-16,156,1166.9665,1227.26,0.03147123783218428,0.027594260449828257
1.0,1.0,76.0,Ayakkabı,Ayakkabı,Spor Ayakkabı,1,2024-03-25,156,673.092375,581.81,0.05979410367632747,0.054131624034145655
1.0,1.0,76.0,Ayakkabı,Ayakkabı,Spor Ayakkabı,1,2024-06-03,156,1211.8903846153846,1090.9,0.03926577135191834,0.029919473857969517
1.0,1.0,76.0,Ayakkabı,Ayakkabı,Spor Ayakkabı,3,2025-06-30,156,2661.0428488372095,2703.91,0.06230939803346888,0.010906086609455513
2.0,26.0,12.0,Giyim,Ceket,Ceket,2,2024-03-04,156,967.269420289855,861.34,0.02230794116682417,0.03120447132640823
2.0,94.0,77.0,Giyim,Pantolon,Jean,2,2025-02-17,156,771.5645251396647,1090.81,0.03372726249197303,0.07156519735447672
2.0,29.0,24.0,Giyim,Şort,Şort,0,2023-03-20,156,283.9677777777778,231.48,0.09213447354715759,0.0741471409248955
1.0,1.0,5.0,Ayakkabı,Ayakkabı,Basketbol Ayakkabısı,2,2024-02-05,156,1231.4413402061855,1149.17,0.022482631411135132,0.02498613136250755
1.0,1.0,5.0,Ayakkabı,Ayakkabı,Basketbol Ayakkabısı,0,2023-08-28,156,1687.0875609756097,1636.36,0.0020249202097632965,0.0017287988657703752
3.0,8.0,41.0,Aksesuar,Top,Futbol Topu,0,2024-06-10,156,779.1363414634145,757.87,0.0020151692994419446,0.0009551510420140696
2.0,918.0,16.0,Giyim,Gömlek,Gömlek,0,2023-07-31,156,559.4515853658536,555.45,0.013724399158972313,0.01057949157373522
1.0,1.0,75.0,Ayakkabı,Ayakkabı,Sneaker,3,2024-11-25,156,1911.3766279069769,2089.99,0.017146277647330618,0.013785312861955976
3.0,928.0,102.0,Aksesuar,Kamp Malzemeleri,Anahtarlık,0,2024-06-10,156,48.8025,49.99,0.01731035543929835,0.022818257648553192
2.0,26.0,12.0,Giyim,Ceket,Ceket,2,2024-04-29,156,1095.4311764705883,979.0799999999999,0.029286422643142098,0.02830281260866815
2.0,36.0,30.0,Giyim,Tayt,Tayt,0,2024-01-15,156,406.89024390243895,307.26,0.07762346242824984,0.06391005963370118
2.0,96.0,20.0,Giyim,Mont,Mont,2,2024-09-30,156,2203.35456,1493.15,0.01324077383395927,0.012078001353578768
1.0,919.0,8.0,Ayakkabı,Bot & Çizme,Bot ve Çizme,2,2025-03-03,156,1283.4567894736842,983.71,0.019187369633464412,0.055281587152125694
1.0,1.0,7.0,Ayakkabı,Ayakkabı,Outdoor Ayakkabı,2,2024-02-05,156,1609.1646153846154,1159.08,0.019797215096963798,0.01762304541957332
1.0,1.0,3.0,Ayakkabı,Ayakkabı,Krampon,0,2024-09-09,156,2420.1930952380953,2544.54,0.00923281107583126,0.006929850435076148
2.0,28.0,15.0,Giyim,Forma,Forma,0,2024-08-05,156,2580.9333750000005,2726.36,0.0003867162821301583,0.00029131530218862883
1.0,1.0,2.0,Ayakkabı,Ayakkabı,Koşu Ayakkabısı,1,2024-01-29,156,872.5721794871796,834.06,0.03597673120063467,0.03263731526507212
3.0,18.0,69.0,Aksesuar,Aksesuar,Parfüm,0,2024-11-11,156,325.19902439024384,0.0,0.45323247863915417,0.1434174487535231
1.0,1.0,3.0,Ayakkabı,Ayakkabı,Krampon,0,2024-06-10,156,2086.35225,1680.91,0.009038532697643924,0.007006006147227176
